year,early estimate of date,late estimate of date,active year,type of violence,conflict id new,conflict name,side a id,side b id,side a name,side b name,latitude,longitude,geom_wkt,deaths side a,deaths side b,deaths civilians,deaths unknown,total deaths
2015,2015-01-27T00:00:00,2015-01-27T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.0,37.805278,POINT (37.805278 48.000000),0,0,1,0,1
2015,2015-01-27T00:00:00,2015-01-28T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),3,0,0,0,3
2015,2015-01-27T00:00:00,2015-01-28T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.564161,38.644237,POINT (38.644237 48.564161),0,0,0,0,0
2015,2015-02-01T00:00:00,2015-02-01T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.0,37.805278,POINT (37.805278 48.000000),0,0,1,0,1
2015,2015-01-27T00:00:00,2015-01-28T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.133333,38.933333,POINT (38.933333 48.133333),0,0,0,0,0
2015,2015-01-27T00:00:00,2015-01-28T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.566667,39.3,POINT (39.300000 48.566667),0,0,0,0,0
2015,2015-01-29T00:00:00,2015-01-29T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.333333,38.4,POINT (38.400000 48.333333),5,0,3,0,8
2015,2015-02-01T00:00:00,2015-02-01T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.92,39.02,POINT (39.020000 48.920000),0,0,3,0,3
2015,2015-02-01T00:00:00,2015-02-01T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.721895,39.25145,POINT (39.251450 48.721895),2,0,0,0,2
2015,2015-01-29T00:00:00,2015-01-30T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),5,7,0,0,12
2015,2015-01-29T00:00:00,2015-01-30T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.0,37.805278,POINT (37.805278 48.000000),0,12,0,0,12
2015,2015-01-30T00:00:00,2015-01-30T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.0,37.805278,POINT (37.805278 48.000000),0,0,6,0,6
2015,2015-01-30T00:00:00,2015-01-31T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),15,0,0,0,15
2015,2015-02-01T00:00:00,2015-02-01T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),10,0,2,0,12
